loc,name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
274,velocity,1.5,org.apache.velocity.runtime.resource.loader.JarResourceLoader,8,2,0,9,39,8,0,9,5,0.5,1,0,0.611111111,0.375,0,0,33,7,2.25,1
357,velocity,1.5,org.apache.velocity.runtime.log.AvalonLogChute,10,1,1,12,46,0,1,11,7,0.814814815,0.5,1,0,0.422222222,0,0,34.1,2,1.1,1
133,velocity,1.5,org.apache.velocity.runtime.Runtime,30,1,0,10,60,435,0,10,30,2,0,0,0,0.133333333,0,0,3.433333333,1,0.9667,1
280,velocity,1.5,org.apache.velocity.runtime.parser.TemplateParseException,9,4,0,4,19,8,1,3,8,0.75,1,0,0.75,0.333333333,1,2,29.88888889,10,2.1111,1
81,velocity,1.5,org.apache.velocity.runtime.resource.ContentResource,2,2,0,10,14,1,6,5,2,2,0,0,0.941176471,1,1,1,39.5,1,0.5,1
121,velocity,1.5,org.apache.velocity.runtime.parser.node.MapSetExecutor,4,2,0,3,17,0,1,2,2,0.555555556,0.333333333,0,0.571428571,0.45,0,0,28.5,7,2.25,1
159,velocity,1.5,org.apache.velocity.runtime.resource.loader.ResourceLoader,12,1,6,16,28,40,12,5,11,0.848484848,0.833333333,2,0,0.238095238,0,0,11.75,2,1,1
53,velocity,1.5,org.apache.velocity.util.introspection.Info,6,1,1,16,12,9,16,0,5,0.6,1,0,0,0.444444444,0,0,7.333333333,1,0.6667,1
106,velocity,1.5,org.apache.velocity.context.InternalContextBase,13,1,1,7,23,34,2,5,12,0.847222222,1,2,0,0.21978022,0,0,6.692307692,2,1,1
256,velocity,1.5,org.apache.velocity.runtime.directive.MacroParseException,6,4,0,5,14,0,2,3,5,0.9,1,0,0.75,0.375,1,3,41.33333333,10,3.1667,1
86,velocity,1.5,org.apache.velocity.runtime.parser.node.GetExecutor,4,2,0,6,16,0,1,5,3,0.166666667,1,1,0.666666667,0.5,0,0,20,1,0.5,1
108,velocity,1.5,org.apache.velocity.runtime.parser.node.PutExecutor,3,2,0,4,14,0,1,3,2,0.25,1,1,0.666666667,0.611111111,0,0,34.33333333,2,1,1
351,velocity,1.5,org.apache.velocity.app.Velocity,25,1,0,18,65,300,1,17,25,2,0,0,0,0.16,0,0,13.04,8,1.28,1
91,velocity,1.5,org.apache.velocity.app.event.implement.ReportInvalidReferences,7,1,0,8,20,11,0,8,6,0.5,0.333333333,0,0,0.5,0,0,11.57142857,2,1.1429,1
54,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTFloatingPointLiteral,5,2,0,8,12,0,4,6,5,0.25,1,0,0.903225806,0.433333333,0,0,9.6,1,0.6,1
157,velocity,1.5,org.apache.velocity.app.event.implement.PrintExceptions,5,1,0,3,19,2,0,3,3,0.666666667,1,1,0,0.333333333,0,0,29.8,3,1,1
12,velocity,1.5,org.apache.velocity.app.event.implement.EscapeXmlReference,3,2,0,2,6,3,0,2,1,2,0,0,0.714285714,0.666666667,1,2,3,1,0.6667,1
155,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTAddNode,4,2,0,11,22,6,4,9,4,2,0,0,0.933333333,0.416666667,1,1,37.75,1,0.5,1
42,velocity,1.5,org.apache.velocity.app.event.implement.InvalidReferenceInfo,3,2,0,2,14,0,1,1,3,0,1,0,0.666666667,0.555555556,0,0,12.66666667,1,0.6667,1
1,velocity,1.5,org.apache.velocity.util.ContextAware,1,1,0,5,1,0,4,1,1,2,0,0,0,1,0,0,0,1,1,1
170,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTModNode,4,2,0,11,21,6,4,9,4,2,0,0,0.933333333,0.416666667,1,1,41.5,1,0.5,1
154,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTLTNode,5,2,0,11,21,10,4,9,5,2,0,0,0.903225806,0.4,1,1,29.8,1,0.6,1
12,velocity,1.5,org.apache.velocity.app.event.implement.EscapeSqlReference,3,2,0,2,6,3,0,2,1,2,0,0,0.714285714,0.666666667,1,2,3,1,0.6667,1
185,velocity,1.5,org.apache.velocity.util.ExceptionUtils,6,1,0,7,20,9,7,0,4,0.7,0.25,0,0,0.4,0,0,29.16666667,6,2,1
153,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTLENode,5,2,0,11,21,10,4,9,5,2,0,0,0.903225806,0.4,1,1,29.6,1,0.6,1
49,velocity,1.5,org.apache.velocity.runtime.resource.loader.ResourceLoaderFactory,2,1,0,6,14,1,1,5,2,2,0,0,0,0.5,0,0,23.5,1,0.5,1
12,velocity,1.5,org.apache.velocity.app.event.implement.EscapeJavaScriptReference,3,2,0,2,6,3,0,2,1,2,0,0,0.714285714,0.666666667,1,2,3,1,0.6667,1
95,velocity,1.5,org.apache.velocity.context.AbstractContext,13,2,1,5,17,66,1,4,13,0.75,1,1,0.52173913,0.461538462,0,0,6.230769231,4,1.3846,1
1,velocity,1.5,org.apache.velocity.util.TemplateNumber,1,1,0,11,1,0,11,0,1,2,0,0,0,1,0,0,0,1,1,1
153,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTGENode,5,2,0,11,21,10,4,9,5,2,0,0,0.903225806,0.4,1,1,29.6,1,0.6,1
66,velocity,1.5,org.apache.velocity.util.ClassUtils,4,1,0,8,14,6,8,0,3,2,0,0,0,0.416666667,0,0,15.5,5,1.75,1
12,velocity,1.5,org.apache.velocity.app.event.implement.EscapeHtmlReference,3,2,0,2,6,3,0,2,1,2,0,0,0.714285714,0.666666667,1,2,3,1,0.6667,1
218,velocity,1.5,org.apache.velocity.runtime.parser.JJTParserState,12,1,0,2,25,0,1,1,0,0.436363636,1,0,0,0.395833333,0,0,16.75,3,1.3333,1
35,velocity,1.5,org.apache.velocity.exception.VelocityException,4,4,4,10,7,0,9,1,4,0.666666667,1,0,0.928571429,0.666666667,0,0,7.25,1,0.25,1
83,velocity,1.5,org.apache.velocity.runtime.resource.ResourceCacheImpl,6,1,0,6,25,0,1,5,6,0.4,1,1,0,0.458333333,0,0,12.5,2,1,1
45,velocity,1.5,org.apache.velocity.exception.TemplateInitException,5,5,0,23,7,0,20,3,5,0.6875,1,0,0.823529412,0.5,0,0,7.2,1,0.6,1
138,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTMulNode,4,2,0,11,20,6,4,9,4,2,0,0,0.933333333,0.416666667,1,1,33.5,1,0.5,1
67,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTMap,4,2,0,8,12,6,4,6,4,2,0,0,0.933333333,0.416666667,1,1,15.75,1,0.5,1
3,velocity,1.5,org.apache.velocity.app.event.InvalidReferenceEventHandler,3,1,0,9,3,3,6,3,3,2,0,0,0,0.933333333,0,0,0,1,1,1
854,velocity,1.5,org.apache.velocity.runtime.parser.node.MathUtils,16,1,0,11,52,112,11,0,12,0.826666667,0.533333333,0,0,0.226666667,0,0,51.4375,18,4.5625,1
340,velocity,1.5,org.apache.velocity.runtime.visitor.NodeViewMode,43,2,0,44,52,897,0,44,41,0.011904762,1,0,0.505882353,0.06760411,0,0,6.860465116,4,1.0698,1
1,velocity,1.5,org.apache.velocity.util.RuntimeServicesAware,1,1,0,8,1,0,7,1,1,2,0,0,0,1,0,0,0,1,1,1
157,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTIntegerRange,4,2,0,9,22,6,4,7,4,2,0,0,0.933333333,0.416666667,1,1,38.25,1,0.5,1
3,velocity,1.5,org.apache.velocity.app.event.EventHandlerMethodExecutor,3,1,0,9,3,3,8,1,3,2,0,0,0,0.666666667,0,0,0,1,1,1
30,velocity,1.5,org.apache.velocity.runtime.parser.node.SetExecutor,5,1,3,6,6,0,5,1,4,0.625,1,1,0,0.466666667,0,0,4.6,2,1,1
129,velocity,1.5,org.apache.velocity.runtime.log.RuntimeLoggerLog,20,2,0,8,27,118,5,3,17,0.473684211,1,1,0.5,0.316666667,1,3,5.4,1,0.95,1
1,velocity,1.5,org.apache.velocity.util.introspection.SecureIntrospectorControl,1,1,0,2,1,0,2,0,1,2,0,0,0,1,0,0,0,1,1,1
1,velocity,1.5,org.apache.velocity.app.event.NullSetEventHandler,1,1,0,4,1,0,3,1,1,2,0,0,0,1,0,0,0,1,1,1
23,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTStop,4,2,0,9,8,6,4,7,4,2,0,0,0.933333333,0.392857143,0,0,4.75,1,0.5,1
731,velocity,1.5,org.apache.velocity.util.StringUtils,24,1,0,12,74,274,12,0,23,0.956521739,1,0,0,0.168478261,0,0,29.41666667,8,2.5833,1
14,velocity,1.5,org.apache.velocity.runtime.log.LogChute,4,1,0,13,4,6,12,1,4,1.333333333,0,0,0,0.55,0,0,0,1,1,1
177,velocity,1.5,org.apache.velocity.app.FieldMethodizer,7,1,0,1,26,1,0,1,6,0,1,0,0,0.464285714,0,0,24,4,1,1
37,velocity,1.5,org.apache.velocity.runtime.log.LogChuteSystem,5,1,0,6,9,0,2,4,4,0.25,1,1,0,0.433333333,0,0,6.2,1,0.8,1
168,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTDivNode,4,2,0,11,21,6,4,9,4,2,0,0,0.933333333,0.416666667,1,1,41,1,0.5,1
204,velocity,1.5,org.apache.velocity.exception.ParseErrorException,9,5,0,30,19,0,25,5,9,0.625,1,0,0.777777778,0.355555556,0,0,21.11111111,1,0.4444,1
1,velocity,1.5,org.apache.velocity.app.event.ReferenceInsertionEventHandler,1,1,0,5,1,0,4,1,1,2,0,0,0,1,0,0,0,1,1,1
66,velocity,1.5,org.apache.velocity.util.introspection.SecureUberspector,4,2,0,9,16,2,0,9,4,0.666666667,0,1,0.7,0.4375,1,1,15.25,1,0.75,1
154,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTGTNode,5,2,0,11,21,10,4,9,5,2,0,0,0.903225806,0.4,1,1,29.8,1,0.6,1
42,velocity,1.5,org.apache.velocity.app.event.implement.IncludeRelativePath,2,1,0,1,10,1,0,1,2,2,0,0,0,0.75,0,0,20,4,2,1
141,velocity,1.5,org.apache.velocity.runtime.log.HoldingLogChute,6,1,1,5,17,3,3,2,5,0.4,1,0,0,0.388888889,0,0,22.33333333,4,1.3333,1
3,velocity,1.5,org.apache.velocity.exception.ExtendedParseException,3,1,0,5,3,3,5,0,3,2,0,0,0,1,0,0,0,1,1,1
62,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTIntegerLiteral,5,2,0,8,13,0,4,6,5,0.25,1,0,0.903225806,0.433333333,0,0,11.2,1,0.6,1
375,velocity,1.5,org.apache.velocity.io.UnicodeInputStream,18,2,0,4,36,0,1,3,13,0.79144385,0.545454545,5,0.375,0.226890756,1,2,19.22222222,1,0.8333,1
3,velocity,1.5,org.apache.velocity.util.introspection.IntrospectorCacheListener,3,1,0,4,3,3,3,1,3,2,0,0,0,0.777777778,0,0,0,1,1,1
3,velocity,1.5,org.apache.velocity.runtime.ParserPool,3,1,0,4,3,3,2,2,3,2,0,0,0,0.555555556,0,0,0,1,1,1
195,velocity,1.5,org.apache.velocity.runtime.resource.loader.JarHolder,6,1,0,4,33,0,1,3,6,0.4,1,1,0,0.5,0,0,30.83333333,2,1.1667,1
42,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTObjectArray,4,2,0,8,12,6,4,6,4,2,0,0,0.933333333,0.416666667,1,1,9.5,1,0.5,1
1,velocity,1.5,org.apache.velocity.app.event.IncludeEventHandler,1,1,0,6,1,0,5,1,1,2,0,0,0,1,0,0,0,1,1,1
40,velocity,1.5,org.apache.velocity.runtime.directive.Directive,8,1,5,19,9,16,12,8,8,0.761904762,1,1,0,0.3125,0,0,3.625,1,0.875,1
151,velocity,1.5,org.apache.velocity.runtime.log.LogDisplayWrapper,16,2,0,3,24,106,1,2,11,0.333333333,1,1,0.558823529,0.5,1,6,8.25,2,1.0625,1
138,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTSubtractNode,4,2,0,11,20,6,4,9,4,2,0,0,0.933333333,0.416666667,1,1,33.5,1,0.5,1
344,velocity,1.5,org.apache.velocity.runtime.visitor.BaseVisitor,44,1,2,45,86,946,2,43,44,1,1,1,0,0.064646465,0,0,6.772727273,1,0.9773,1
1,velocity,1.5,org.apache.velocity.app.event.MethodExceptionEventHandler,1,1,0,5,1,0,4,1,1,2,0,0,0,1,0,0,0,1,1,1
43,velocity,1.5,org.apache.velocity.runtime.resource.util.StringResource,7,1,0,3,9,11,3,0,7,0.611111111,1,0,0,0.523809524,0,0,4.714285714,1,0.8571,1
13,velocity,1.5,org.apache.velocity.runtime.log.NullLogChute,5,1,1,3,6,10,1,2,5,2,0,0,0,0.48,0,0,1.6,1,0.8,1
17,velocity,1.5,org.apache.velocity.exception.ResourceNotFoundException,3,5,0,35,6,3,34,1,3,1.5,1,0,1,0.777777778,0,0,4.333333333,0,0,1
99,velocity,1.5,org.apache.velocity.app.event.implement.EscapeReference,6,1,4,12,18,7,4,8,3,0.666666667,1,1,0,0.416666667,0,0,15,4,1.8333,1
30,velocity,1.5,org.apache.velocity.runtime.parser.node.AbstractExecutor,5,1,3,6,6,0,5,1,4,0.625,1,1,0,0.466666667,0,0,4.6,2,1,1
62,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTIfStatement,5,2,0,10,12,10,4,8,5,2,0,0,0.903225806,0.4,1,2,11.4,1,0.6,0
93,velocity,1.5,org.apache.velocity.anakia.AnakiaElement,12,3,0,8,30,64,1,7,11,1,1,0,0.920454545,0.606060606,1,2,6.583333333,1,0.5833,0
88,velocity,1.5,org.apache.velocity.runtime.resource.loader.ClasspathResourceLoader,6,2,0,8,20,15,0,8,5,1,0,0,0.6875,0.416666667,1,1,13.5,2,1,0
84,velocity,1.5,org.apache.velocity.anakia.Escape,3,1,0,1,10,1,1,0,2,0.5,0,0,0,0.5,0,0,26.66666667,10,3.3333,0
28,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTFalse,6,2,0,6,9,13,4,4,5,0.8,1,0,0.903225806,0.4,0,0,3.5,1,0.5,0
168,velocity,1.5,org.apache.velocity.runtime.log.SimpleLog4JLogSystem,6,1,0,8,30,0,0,8,4,0.333333333,1,1,0,0.416666667,0,0,26.5,2,1.3333,0
31,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTExpression,5,2,0,9,11,10,5,6,5,2,0,0,0.903225806,0.4,1,2,5.2,1,0.6,0
2,velocity,1.5,org.apache.velocity.context.InternalEventContext,2,1,0,5,2,1,5,1,2,2,0,0,0,0.75,0,0,0,1,1,0
342,velocity,1.5,org.apache.velocity.io.VelocityWriter,19,2,0,1,29,61,1,0,14,0.709876543,0.666666667,0,0.464285714,0.305555556,1,2,16.52631579,2,0.8421,0
17,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTprocess,3,2,0,5,6,3,4,3,3,2,0,0,0.965517241,0.533333333,0,0,4.666666667,1,0.3333,0
5,velocity,1.5,org.apache.velocity.runtime.resource.ResourceCache,5,1,0,4,5,10,2,2,5,2,0,0,0,0.5,0,0,0,1,1,0
184,velocity,1.5,org.apache.velocity.runtime.parser.TokenMgrError,6,3,0,2,19,15,2,0,4,1.12,0,0,0.8125,0.5,1,1,28.83333333,14,2.8333,0
438,velocity,1.5,org.apache.velocity.anakia.NodeList,37,1,0,16,92,0,3,13,34,0.5,1,1,0,0.177777778,1,1,10.78378378,12,1.1351,0
5,velocity,1.5,org.apache.velocity.util.introspection.Uberspect,5,1,0,12,5,10,8,4,5,2,0,0,0,0.68,0,0,0,1,1,0
11,velocity,1.5,org.apache.velocity.runtime.log.VelocityFormatter,2,2,0,2,5,1,1,1,1,2,0,0,0.941176471,0.833333333,1,2,4.5,1,0.5,0
3,velocity,1.5,org.apache.velocity.util.introspection.VelPropertySet,3,1,0,4,3,3,4,0,3,2,0,0,0,0.666666667,0,0,0,1,1,0
23,velocity,1.5,org.apache.velocity.anakia.OutputWrapper,3,2,0,4,8,3,1,3,3,2,0,0,0.984615385,0.5,1,1,6.666666667,1,0.3333,0
84,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTAndNode,5,2,0,9,19,10,4,7,5,2,0,0,0.903225806,0.4,1,1,15.8,1,0.6,0
41,velocity,1.5,org.apache.velocity.runtime.parser.ParserVisitor,41,1,0,49,41,820,49,41,41,2,0,0,0,0.069767442,0,0,0,1,1,0
5,velocity,1.5,org.apache.velocity.context.Context,5,1,0,30,5,10,30,0,5,2,0,0,0,0.666666667,0,0,0,1,1,0
17,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTVariable,3,2,0,3,6,3,0,3,3,2,0,0,0.965517241,0.533333333,0,0,4.666666667,1,0.3333,0
